		आङ्ग्ले	संस्कृते	सङ्ख्या (प्रातिपदिकम्)	पुंलिङ्गम्	स्त्रीलिङ्गम्	नपुंसकलिङ्गम्	सङ्ख्यानम् (प्रातिपदिकम्)	सङ्ख्यानम् (पुंलिङ्गम्)	सङ्ख्यानम् (स्त्रीलिङ्गम्)	सङ्ख्यानम् (नपुंसकलिङ्गम्)	सङ्ख्यानम्-तम (प्रातिपदिकम्)	सङ्ख्यानम्-तम (पुंलिङ्गम्)	सङ्ख्यानम्-तम (स्त्रीलिङ्गम्)	सङ्ख्यानम्-तम (नपुंसकलिङ्गम्)			
*	89*	89	89	ऊन/एकोन/एकान्न/एकाद्ननवति		ऊन/एकोन/एकान्न/एकाद्ननवतिः		ऊन/एकोन/एकान्न/एकाद्ननवति	ऊन/एकोन/एकान्न/एकाद्ननवतः	ऊन/एकोन/एकान्न/एकाद्ननवती	ऊन/एकोन/एकान्न/एकाद्ननवतम्	ऊन/एकोन/एकान्न/एकाद्ननवतितम	ऊन/एकोन/एकान्न/एकाद्ननवतितमः	ऊन/एकोन/एकान्न/एकाद्ननवतितमी	ऊन/एकोन/एकान्न/एकाद्ननवतितमम्			
	90	90	90	नवति		नवतिः		नवति	नवतः	नवती	नवततमम्	नवतितम	नवतितमः	नवतितमी	नवतितमम्			
	91	91	91	एकनवति		एकनवतिः		एकनवति	एकनवतः	एकनवती	एकनवतम्	एकनवतितम	एकनवतितमः	एकनवतितमी	एकनवतितमम्			
*	92*	92	92	द्वि/द्वानवति		द्वि/द्वानवतिः		द्वि/द्वानवति	द्वि/द्वानवतः	द्वि/द्वानवती	द्वि/द्वानवतम्	द्वि/द्वानवतितम	द्वि/द्वानवतितमः	द्वि/द्वानवतितमी	द्वि/द्वानवतितमम्			
*	93*	93	93	त्रिनवति		त्रिनवतिः		त्रिनवति	त्रिनवतः	त्रिनवती	त्रिनवतम्	त्रिनवतितम	त्रिनवतितमः	त्रिनवतितमी	त्रिनवतितमम्			
	94	94	94	चतुर्नवति		चतुर्नवतिः		चतुर्नवति	चतुर्नवतः	चतुर्नवती	चतुर्नवतम्	चतुर्नवतितम	चतुर्नवतितमः	चतुर्नवतितमी	चतुर्नवतितमम्			
	95	95	95	पञ्चनवति		पञ्चनवतिः		पञ्चनवति	पञ्चनवतः	पञ्चनवती	पञ्चनवतम्	पञ्चनवतितम	पञ्चनवतितमः	पञ्चनवतितमी	पञ्चनवतितमम्			
	96	96	96	षण्णवति		षण्णवतिः		षण्णवति	षण्णवतः	षण्णवती	षण्णवतम्	षण्णवतितम	षण्णवतितमः	षण्णवतितमी	षण्णवतितमम्			
	97	97	97	सप्तनवति		सप्तनवतिः		सप्तनवति	सप्तनवतः	सप्तनवती	सप्तनवतम्	सप्तनवतितम	सप्तनवतितमः	सप्तनवतितमी	सप्तनवतितमम्			
*	98*	98	98	अष्ट/अष्टनवति		अष्ट/अष्टनवतिः		अष्ट/अष्टनवति	अष्ट/अष्टनवतः	अष्ट/अष्टनवती	अष्ट/अष्टनवतम्	अष्ट/अष्टनवतितम	अष्ट/अष्टनवतितमः	अष्ट/अष्टनवतितमी	अष्ट/अष्टनवतितमम्			
*	99*	99	99	नवनवति		नवनवतिः	ऊन/एकोन/एकान्न/एकाद्नशतम्	नवनवति	नवनवतः	नवनवती	नवनवतम्	नवनवतितम	नवनवतितमः	नवनवतितमी	नवनवतितमम्			
	100	100	100	शत			शतम्					शततम	शततमः	शततमी	शततमम्			
	101	101	101	एकाधिकशत			एकाधिकशतम्					एकाधिकशततम	एकाधिकशततमः	एकाधिकशततमी	एकाधिकशततमम्			
*	102*	102	102	द्व्यधिकशत			द्व्यधिकशतम्					द्व्यधिकशततम	द्व्यधिकशततमः	द्व्यधिकशततमी	द्व्यधिकशततमम्			
*	103*	103	103	त्र्यधिकशत			त्र्यधिकशतम्					त्र्यधिकशततम	त्र्यधिकशततमः	त्र्यधिकशततमी	त्र्यधिकशततमम्			
	104	104	104	चतुरधिकशत			चतुरधिकशतम्					चतुरधिकशततम	चतुरधिकशततमः	चतुरधिकशततमी	चतुरधिकशततमम्			
	105	105	105	पञ्चाधिकशत			पञ्चाधिकशतम्					पञ्चाधिकशततम	पञ्चाधिकशततमः	पञ्चाधिकशततमी	पञ्चाधिकशततमम्			
	106	106	106	षडधिकशत			षडधिकशतम्					षडधिकशततम	षडधिकशततमः	षडधिकशततमी	षडधिकशततमम्			
	107	107	107	सप्ताधिकशत			सप्ताधिकशतम्					सप्ताधिकशततम	सप्ताधिकशततमः	सप्ताधिकशततमी	सप्ताधिकशततमम्			
*	108*	108	108	अष्टाधिकशत			अष्टाधिकशतम्					अष्टाधिकशततम	अष्टाधिकशततमः	अष्टाधिकशततमी	अष्टाधिकशततमम्			
*	109*	109	109	नवाधिकशत			नवाधिकशतम्					नवाधिकशततम	नवाधिकशततमः	नवाधिकशततमी	नवाधिकशततमम्			
	110	110	110	दशाधिकशत			दशाधिकशतम्					दशाधिकशततम	दशाधिकशततमः	दशाधिकशततमी	दशाधिकशततमम्			
	111	111	111	एकादशाधिकशत			एकादशाधिकशतम्					एकादशाधिकशततम	एकादशाधिकशततमः	एकादशाधिकशततमी	एकादशाधिकशततमम्			
*	112*	112	112	द्वादशाधिकशत			द्वादशाधिकशतम्					द्वादशाधिकशततम	द्वादशाधिकशततमः	द्वादशाधिकशततमी	द्वादशाधिकशततमम्			
*	113*	113	113	त्रयोदशाधिकशत			त्रयोदशाधिकशतम्					त्रयोदशाधिकशततम	त्रयोदशाधिकशततमः	त्रयोदशाधिकशततमी	त्रयोदशाधिकशततमम्			
	114	114	114	चतुर्दशाधिकशत			चतुर्दशाधिकशतम्					चतुर्दशाधिकशततम	चतुर्दशाधिकशततमः	चतुर्दशाधिकशततमी	चतुर्दशाधिकशततमम्			
	115	115	115	पञ्चदशाधिकशत			पञ्चदशाधिकशतम्					पञ्चदशाधिकशततम	पञ्चदशाधिकशततमः	पञ्चदशाधिकशततमी	पञ्चदशाधिकशततमम्			
	116	116	116	षोडशाधिकशत			षोडशाधिकशतम्					षोडशाधिकशततम	षोडशाधिकशततमः	षोडशाधिकशततमी	षोडशाधिकशततमम्			
	117	117	117	सप्तदशाधिकशत			सप्तदशाधिकशतम्					सप्तदशाधिकशततम	सप्तदशाधिकशततमः	सप्तदशाधिकशततमी	सप्तदशाधिकशततमम्			
*	118*	118	118	अष्टादशाधिकशत			अष्टादशाधिकशतम्					अष्टादशाधिकशततम	अष्टादशाधिकशततमः	अष्टादशाधिकशततमी	अष्टादशाधिकशततमम्			
*	119*	119	119	ऊन/एकोन/एकान्न/एकाद्नविंशतिःत्यधिकशत			ऊन/एकोन/एकान्न/एकाद्नविंशत्यधिकशतम्					ऊन/एकोन/एकान्न/एकाद्नविंशत्यधिकशततम	ऊन/एकोन/एकान्न/एकाद्नविंशत्यधिकशततमः	ऊन/एकोन/एकान्न/एकाद्नविंशत्यधिकशततमी	ऊन/एकोन/एकान्न/एकाद्नविंशत्यधिकशततमम्			
	120	120	120	विंशत्यधिकशत			विंशत्यधिकशतम्					विंशत्यधिकशततम	विंशत्यधिकशततमः	विंशत्यधिकशततमी	विंशत्यधिकशततमम्			
